ID;longitude;latitude;
294;96.49609375;22.91942215;
295;97.68261719;23.82703972;
296;97.68536377;23.83206558;
297;97.81994629;21.92894936;
298;97.82097626;21.9283123;
299;97.68261719;23.8295517;
300;97.03991699;22.54196739;
301;97.68261719;23.8295517;
302;96.63273621;20.65872383;
303;95.09465027;21.9840374;
304;97.69360352;23.8295517;
305;96.67736816;23.10902023;
306;97.29740906;24.11816025;
307;96.671875;23.10396767;
308;96.52081299;24.98753357;
309;97.92980957;23.4496212;
310;97.68261719;23.8295517;
311;97.03991699;22.54196739;
312;97.92980957;23.44710159;
313;92.89257813;20.14257622;
314;97.92980957;23.44710159;
315;98.32119751;24.09622383;
316;96.3203125;25.60584641;
317;96.3203125;25.61575317;
318;96.671875;23.0989151;
319;95.98934937;22.54577255;
320;97.03991699;22.54196739;
321;97.68261719;23.8295517;
322;97.81363678;21.94351959;
323;96.97399902;22.57113647;
324;97.86663818;23.47229767;
325;96.98979187;22.60220146;
326;97.31166077;23.10155869;
327;97.32152557;23.10333633;
328;98.28759766;20.39354515;
329;97.77677155;20.21000862;
330;98.37483978;23.90129471;
331;97.13184357;22.99632072;
332;96.9163208;23.29645729;
333;97.46220398;18.09649658;
334;92.80194092;20.23151207;
335;97.68227386;23.8264122;
336;98.51071167;16.69267845;
337;95.10005951;21.33546829;
338;97.69532013;23.83363533;
339;98.73043823;20.95013428;
340;97.03983307;22.53237534;
341;97.71660614;16.36453056;
342;98.48942566;16.68647003;
343;96.81504059;18.36877823;
344;97.03012848;22.54894257;
345;97.71488953;16.36098862;
346;98.06473541;16.59004784;
347;97.70458984;23.83991623;
348;98.23124695;23.63154793;
349;98.30368805;16.57458115;
350;98.36535645;16.68435287;
351;96.80310822;18.37028503;
352;97.82775879;21.92588425;
353;97.80432129;21.93356705;
354;97.03305054;20.78740883;
355;97.9679184;22.01809692;
356;97.05914307;22.5116806;
357;98.3074646;22.55782127;
358;96.77114105;20.12736511;
359;97.95006561;23.99840355;
360;97.93049622;23.99558067;
361;97.92946625;24.00687218;
362;97.39337158;23.09686279;
363;98.24463654;16.5515976;
364;98.2999115;16.67458916;
365;98.05821228;24.06738663;
366;98.31295776;23.70512772;
367;98.29373169;23.72524452;
368;97.68811035;23.81133652;
369;97.67334747;23.80850983;
370;97.7265625;17.34563637;
371;97.14858246;22.97016525;
372;97.69738007;23.8138485;
373;97.67214966;23.8231144;
374;97.73377228;23.86063957;
375;97.68656158;23.8264904;
376;98.11795044;23.5890789;
377;97.14325714;22.96668816;
378;97.12017059;23.25157547;
379;97.0353241;22.55365944;
380;97.92259979;23.45977974;
381;97.30728149;24.124897;
382;96.73264313;26.36564636;
383;97.30187225;24.12223434;
384;97.56245422;24.75968933;
385;96.52201843;24.99749184;
386;97.01502228;25.38225937;
387;97.56348419;24.76054573;
388;97.12017059;23.25198936;
389;97.40274811;23.09299278;
390;97.16003418;22.96660805;
391;97.16239929;22.96305275;
392;97.15366364;22.96712303;
393;97.67459106;23.83069038;
394;97.02039337;22.54715919;
395;97.15535736;22.96763611;
396;98.0952301;23.58154678;
397;97.12109375;23.25250244;
398;98.20283508;14.247118;
399;97.93582153;23.46190453;
400;97.8714447;23.57523346;
401;97.93521881;23.46261215;
402;97.02682495;22.53744888;
403;98.36271667;20.31981468;
404;97.53240967;24.73708344;
405;95.11070251;22.10106468;
406;98.35819244;20.31717873;
407;98.00460815;20.35114288;
408;96.71427155;25.54545784;
409;97.03185272;22.5405407;
410;97.04124451;22.53501129;
411;96.79692841;22.33094025;
412;97.93479156;23.45733833;
413;97.4037323;23.09101868;
414;97.94954681;23.53306198;
415;98.04619598;23.54659653;
416;96.32189941;25.61366463;
417;96.32863617;25.6104908;
418;96.37151337;24.78821182;
419;96.35034943;25.65661049;
420;96.35276031;25.63757706;
421;96.35979462;25.64361191;
422;96.35258484;25.6764164;
423;96.3549881;25.65753937;
424;96.36116791;25.63881493;
425;96.67684937;23.11643982;
426;96.40854645;25.64105988;
427;96.51806641;25.62813568;
428;96.51463318;25.62689781;
429;97.68279266;23.82594109;
430;97.67626953;23.82264328;
431;97.68060303;23.82436943;
432;96.32073975;25.61343193;
433;97.39641571;23.0959549;
434;96.54227448;22.96510887;
435;96.6033783;22.98486328;
436;97.29740906;22.62581253;
