,Catchment  Annual Rainfall (mm),"Total Powerplant Design Discharge (m3/s)
","Transmission Line Length (km)
","Transmission Line Voltage level (kV)
","Turbine Discharge/ Min Flow
","Transmission Line Connected to S/S
","Full Supply Level (FSL) (m)
",Powerhouse Type,Dam Type,"Reservoir Area (km2)
","Estimated No. Construction Workers (planned projects)
","Total Length of Reservoir (km)
","Reservoir Live Storage (hm3)
","Reservoir Dead Storage (hm3)
","Reservoir Retention Period (days)
",Run-of-River or Storage,Township,"Myanmar Selfuse (MW)
",% use MYA,Export (MW),Height (m),Qmin/ MAF,Crest Length (m),"Distance along river between dam and powerhouse (km)
",Plant Factor,Installed Capacity (MW),Financiers,"GIS Rainfall
","Max reservoir area (FSL) (km2)
","Unit Flow (l/s/km2)
",District,"Mean annual inflow (MAF) into reservoir (m3/s)
",Developers,"Sub-Basin (GIS Maps)
",Status (labelled by IFC),State/Region,Basin,Annual Runoff into Reservoir (hm3),"Catchment Area (km2)
","Sub-Basin (HP Chapter)
","Mean annual energy (GW)
",Total storage (FSL) (mil. m3),Notes,River,Function,Country,Location_L,Location_1,Status,Project Name,COD Year,Project ID,geometry,ST,TS,TS_PCODE
0,,,70.0,132,,Mann,120.0,Above ground,Earth,32.8,,29.8,571.0,0.0,52.0,S,Sidoktaya,74.0,1.0,0.0,50,0.1,,0.0,0.57,74.0,Sole Investment,1694.0,,24.9,Minbu,126.9,MOALI,Mone Chaung,Built,Magway,Ayeyarwady,4002.0,5100.0,Mone Chaung,74,571,,Mon Chaung,MP,Myanmar,94.416,20.331,Complete,Kyee Ohn Kyee Wa,2012,DAM0031,POINT (94.416 20.331),Magway,Sidoktaya,MMR009011
0,3124.0,,16.0,230,,Tongxinqiao,,,,12.4,2400.0,10.7,40.0,27.0,3.0,RoR,Tsawlaw,300.0,0.5,300.0,79,0.33,,0.0,0.46,600.0,Foreign JV/BOT,1540.0,,74.0,Myitkyina,154.0,YEIG/IGOEC,Naw Chang  Hka,MOA,Kachin,Ayeyarwady,4857.0,2080.0,Ayeyarwady Headwaters,600,67,,Naw Chang  Hka,HP,PRC/MYA,98.277743,26.043012,Proposed,Lawngdin,2026,DAM0134,POINT (98.277743 26.043012),Kachin,Tsawlaw,MMR001006
0,3560.0,,,,,,,,,36.0,2400.0,,7609.0,1520.0,218.0,S,,600.0,1.0,0.0,,,,0.0,0.68,600.0,Foreign JV/BOT,2750.0,,61.8,Mindat,404.0,Tractabel,Lemro,MOU,Chin,Rakhine,12741.0,6535.0,Lemro,600,9129,,Le Mro,HP,France,93.350503,20.857443,Proposed,Lemro 1,,DAM0033,POINT (93.350503 20.857443),Chin,Paletwa,MMR004009
0,3000.0,1844.0,,,4.4,,370.0,,CFRD,245.5,6800.0,115.0,5700.0,6080.0,35.0,S,Sumprabum,950.0,0.5,950.0,196,0.22,,0.0,0.88,1900.0,Foreign JV/BOT,2524.0,,123.6,Puta-O,1890.0,CPIYN,Mali Hka,JVA,Kachin,Ayeyarwady,59603.0,15291.0,Ayeyarwady Headwaters,1900,11780,,Mali Hka,HP,PRC,97.77695,26.491779,Proposed,Laza,2025,DAM0034,POINT (97.77695 26.491779),Kachin,Sumprabum,MMR001015
0,3335.0,,,,,,,,,193.0,400.0,,,4.0,,ROR,Mrauk Oo,90.0,1.0,0.0,,,,0.0,0.35,90.0,Foreign JV/BOT,2750.0,,63.4,Mrauk Oo,530.0,Tractabel,Lemro,MOU,Rakhine,Rakhine,16714.0,8355.0,Lemro,90,,,Le Mro,HP,France,93.268689,20.740347,Proposed,Lemro 2,,DAM0035,POINT (93.26868899999999 20.740347),Rakhine,Mrauk-U,MMR012003
0,1100.0,260.0,,,8.7,,292.0,At dam toe,,,400.0,36.0,,,,,,105.0,1.0,0.0,88,0.19,,0.0,0.67,105.0,Foreign JV/BOT,1446.0,,19.8,Loikaw,155.6,TEI/HCTC,Nam Pawn,MOU,Kayah,Thanlwin,4907.0,7860.0,Nam Pawn,105,526,,Nam Pawn,HP,SIN/MYA,97.408611,19.555,Proposed,Nam Pawn (lower),2020,DAM0036,POINT (97.40861099999999 19.555),Kayah,Shadaw,MMR002004
0,,,,,,,395.0,,,870.0,14500.0,380.0,37399.0,2401.0,156.0,S,Mongtong,700.0,0.1,6300.0,241,0.32,,0.0,0.57,7000.0,Foreign JV/BOT,1406.0,870.0,15.1,Monghsat,2776.0,Three Gorges+EGAT,Middle Thanlwin,MOU,Shan,Thanlwin,87544.0,183265.0,Thanlwin Mainstem,7000,39800,Location derived from https://en.wikipedia.org/wiki/Dams_in_Myanmar#Hydroelectric,Thanlwin Mainstem,HP,PRC/Thailand,98.65,20.456389,Proposed,Mong Ton,2030,DAM0037,POINT (98.65000000000001 20.456389),Shan (East),Mongton,MMR016008
0,1500.0,,32.0,230,,GaNaw-Kalay In/out,,,,,1500.0,45.0,874.0,769.0,52.0,S,Kalay,380.0,1.0,0.0,168,0.34,,0.0,0.57,380.0,Foreign JV/BOT,1803.0,,16.7,Falam,193.0,CHEC/Sein,Manipur,MOU,Chin,Chindwin,6086.0,11549.0,Manipur,380,1643,Earthworks Google Earth visible.,Manipur,MP,PRC/MYA,93.943248,22.804356,UC,Manipur,2020,DAM0142,POINT (93.943248 22.804356),Chin,Falam,MMR004001
0,1630.0,282.0,105.0,500,9.1,Theinni,492.0,River-bank,CFRD,10.5,900.0,86.0,498.0,717.0,74.0,S,Minemaw,113.0,0.5,113.0,109,0.78,518.0,0.0,0.47,225.0,Foreign JV/BOT,,,19.9,Hopang,78.3,HydroChina/IGOEC,Nam Ma,MOA,Shan,Thanlwin,2469.0,3936.0,Nam Ma,225,1215,Location: http://www.burmariversnetwork.org/index.php?option=com_content&view=article&id=981&Itemid=392; also http://www.irrawaddy.com/burma/meeting-salween-dams-troubles-shan-communities.html/attachment/map-shan-ngo-dams,Nam Ma,HP,PRC/MYA,98.55727,22.97469,Proposed,Mantong,2024,DAM0039,POINT (98.55727 22.97469),Shan (North),Mongmao,MMR015008
0,,,160.0,132,,Chauk,167.0,Above ground,Rockfill,41.5,,19.4,642.0,190.0,76.0,S,Setoktaya,75.0,1.0,0.0,61,0.1,,0.0,0.5,75.0,Sole Investment,1694.0,,26.3,Minbu,97.3,MoEE/MOALI,Mone Chaung,Built,Magway,Ayeyarwady,3068.0,3695.0,Mone Chaung,75,832,,Mon Chaung,MP,Myanmar,94.255325,20.479942,Complete,Mone Chaung,2004,DAM0040,POINT (94.255325 20.479942),Magway,Sidoktaya,MMR009011
0,1535.0,294.0,,,5.3,,555.0,Riverbed type,Gravity Dam,8.0,,30.5,22.0,56.0,1.0,RoR,KengTung,66.0,1.0,0.0,51,0.19,,0.0,0.57,66.0,Local BOT,1381.0,,20.7,Mong Yawng,285.0,ESDC,Nam Lwe,Built,Shan,Mekong,8988.0,13800.0,Nam Lwe,66,78,,Nam Lwe,HP,Myanmar,100.325821,21.39699,Complete,Mongwa,2017,DAM0041,POINT (100.325821 21.39699),Shan (East),Mongyawng,MMR016011
0,3234.0,7158.0,,,11.8,,245.0,Above ground,CFRD,397.0,14200.0,140.0,4503.0,8687.0,10.0,S,Myitkyina,600.0,0.1,5400.0,140,0.12,1310.0,0.0,0.6,6000.0,Foreign JV/BOT,,262.4,103.3,Myitkyina,5040.0,CPIYN/AWC,Upper Ayeyarwady Mainstem,JVA,Kachin,Ayeyarwady,158941.0,48782.0,Ayeyarwady,6000,13190,,Ayeyarwady,HP,PRC/MYA,97.535,25.715,Suspended,Myitsone,,DAM0150,POINT (97.535 25.715),Kachin,Injangyang,MMR001003
0,,38.0,40.0,66,24.0,GaNaw,,,Earth,12.2,,,172.0,153.0,45.0,S,GaNaw,40.0,1.0,0.0,63,0.04,,0.0,0.49,40.0,Sole Investment,1542.0,,24.2,GaNaw,43.9,MOALI,Myittha,Built,Magway,Chindwin,1384.0,1813.0,Myittha,40,325,,Myittha,MP,Myanmar,94.036944,21.992222,Complete,Myittha,2017,DAM0043,POINT (94.03694400000001 21.992222),Magway,Gangaw,MMR009023
